"route","stop_order","stop","lat","lon","geocode_status","display_name"
"25","8","جامعة الأزهر","30.0570800","31.3152310","matched","جامعة الأزهر, طريق النصر, امتداد رمسيس 2, ثان مدينة نصر, القاهرة, 11759, مصر"
"25","9","نادي السكة","30.0561053","31.3041965","matched","نادي السكة الحديد, شارع مجمع الفردوس, ثان مدينة نصر, القاهرة, 11759, مصر"
"25","10","وزارة المالية","30.0591067","31.3004422","matched","وزارة المالية, امتداد شارع رمسيس, ثان مدينة نصر, القاهرة, 11153, مصر"
"25","11","عباسية","30.0712082","31.2763653","matched","عباسية, القاهرة, 11517, مصر"
"25","12","دمرداش","30.0650382","31.2992074","matched","الدمرداش, القاهرة, 11153, مصر"
"25","13","مترو غمرة","","","not_found",""
"25","14","رمسيس","30.0616901","31.2470284","matched","رمسيس, شارع الجلاء, الفجاله, الأزبكية, القاهرة, 11669, مصر"
"25","15","إسعاف","29.9818385","31.2384605","matched","شارع محمود عساف, المعادى, القاهرة, 11745, مصر"
"25","16","التحرير","30.0444917","31.2383319","matched","التحرير, شارع يوسف الجندي, الدواوين, باب اللوق, القاهرة, 11519, مصر"
"84","1","احمد حلمى","30.0779877","31.2553841","matched","شارع احمد حلمي, الترعه البولاقيه, الظاهر, القاهرة, 11627, مصر"
"84","2","قللى","","","not_found",""
"84","3","رمسيس","30.0616901","31.2470284","matched","رمسيس, شارع الجلاء, الفجاله, الأزبكية, القاهرة, 11669, مصر"
"84","4","غمرة","30.0689640","31.2646738","matched","الغمرة, محور روكسى رمسيس, مهمشه, الدمرداش, القاهرة, 11657, مصر"
"84","5","دمرداش","30.0650382","31.2992074","matched","الدمرداش, القاهرة, 11153, مصر"
"84","6","عباسية","30.0712082","31.2763653","matched","عباسية, القاهرة, 11517, مصر"
"84","7","صلاح سالم","30.0751441","31.3062444","matched","صلاح سالم, منشية البكرى, الدمرداش, القاهرة, مصر"
"84","8","المعرض","30.0307469","31.1204790","matched","شارع المعرض, كرداسة, الجيزة, 12943, مصر"
"84","9","شارع الطيران","30.0385988","31.3314522","matched","شارع الطيران, الحى 6, مدينة نصر, القاهرة, 11717, مصر"
"84","10","رابعة","30.0689548","31.3220029","matched","رابعة العدوية, مدينة نصر, القاهرة, 11759, مصر"
"84","11","التأمين الصحي","30.0580073","31.3263503","matched","كوبرى التأمين الصحى, مدينة نصر, القاهرة, 11371, مصر"
"84","12","نوري خطاب","30.0529812","31.3264637","matched","نوري خطاب, مدينة نصر, القاهرة, مصر"
"84","13","الحي السابع","30.0437936","31.3309093","matched","الحي السابع, محور جيهان السادات, الحى 6, مدينة نصر, القاهرة, 11717, مصر"
"84","14","إنبي","30.0443617","31.3413644","matched","شركة إنبى للبترول, شارع احمد الزمر, مدينة نصر, القاهرة, 11762, مصر"
"84","15","الوفاء والامل","30.0241896","31.3453409","matched","الوفاء والامل, مدينة نصر, القاهرة, مصر"
"84","16","جامع السلام","29.8944980","31.2606774","matched","جامع السلام, 1, شارع مسجد السلام, الحوامدية, الجيزة, 12916, مصر"
"84","17","سوق السيارات","30.0468875","31.3649120","matched","سوق السيارات, محور شينزو ابى, مساكن السويسرى أ, مدينة نصر, القاهرة, 11762, مصر"
"84","18","البوابات","","","not_found",""
"84","19","الحي العاشر","30.0481855","31.3650125","matched","برج ماء الحى العاشر, شارع السد العالى, مدينة نصر, القاهرة, 11528, مصر"
"84","20","التبة","30.0608498","31.3779325","matched","التبة, محور شينزو ابى, شرق المنطقة السادسة, مدينة نصر, القاهرة, 18711, مصر"
"26","1","بيجام","30.1316683","31.2492432","matched","بيجام, القليوبية, 13772, مصر"
"26","2","مؤسسة","30.0231791","31.2378263","matched","مؤسسة مستشفى سرطان الأطفال, شارع سكه حديد المحجر, زينهم, السيدة زينب, القاهرة, 11797, مصر"
"26","3","شبرا الخيمة","30.1287397","31.2960462","matched","الى شبرا بنها الحر, شارع الحريه, عرب الحصن, مسطرد, شبرا الخيمة, القليوبية, 11871, مصر"
"26","4","الشارع الجديد","30.1399447","31.3526092","matched","الشارع الجديد, القاهرة, 11793, مصر"
"26","5","مسطرد","30.1382602","31.2962809","matched","مسطرد, شبرا الخيمة, القليوبية, 13753, مصر"
"26","6","مطرية","","","not_found",""
"26","7","حلمية الزيتون","30.1143455","31.3139000","matched","حلمية الزيتون, شارع محطه حلميه الزيتون, حلميه الزيتون, عين شمس, القاهرة, 11718, مصر"
